OSC Address;Name;Color;Gain;Mute;X;Y;Z;Azim;Elev;Dist;Lock
/track/1;Chime_1;0.11764705926179886,0.5647059082984924,1,1;;false;-17.476250268730237;15.429083527807949;-2.2406386612392843;-48.560001373291016;-5.489999771118164;23.420000076293945;false
/track/2;Chime_2;0.11764705926179886,0.5647059082984924,1,1;;false;-16.480939510652586;15.433384093829721;-2.241743182005735;-46.880001068115234;-5.670000076293945;22.690000534057617;false
/track/3;Tube_1;0.11764705926179886,0.5647059082984924,1,1;;false;-15.480142993000124;15.442364169499976;-2.2402994553232434;-45.06999969482422;-5.849999904632568;21.979999542236328;false
/track/4;Plant_1;0.11764705926179886,0.5647059082984924,1,1;;false;-14.487715365410573;15.438645692826324;-2.240192323301011;-43.18000030517578;-6.039999961853027;21.290000915527344;false
/track/5;Case_Plexi;0.11764705926179886,0.5647059082984924,1,1;;false;-13.479008680717772;15.429519962908358;-2.240170497537889;-41.13999938964844;-6.239999771118164;20.610000610351562;false
/track/6;Case_Floor;0.11764705926179886,0.5647059082984924,1,1;;false;-12.480148726169725;15.428209831431419;-2.239888779691073;-38.970001220703125;-6.440000057220459;19.969999313354492;false
/track/7;Plant_2;0.11764705926179886,0.5647059082984924,1,1;;false;-11.47895583229219;15.428280088805142;-2.238608973107358;-36.650001525878906;-6.639999866485596;19.360000610351562;false
/track/8;Plant_3;0.11764705926179886,0.5647059082984924,1,1;;false;-10.48077017127749;15.43357050396982;-2.241091814578619;-34.18000030517578;-6.849999904632568;18.790000915527344;false
/track/9;Robot_Lavalier;0.11764705926179886,0.5647059082984924,1,1;;false;-9.48236424706726;15.43146192235916;-2.239922147022053;-31.56999969482422;-7.050000190734863;18.25;false
/track/10;Robot_Magnetic;0.11764705926179886,0.5647059082984924,1,1;;false;-8.480068078447522;15.431565162296698;-2.2400317021609792;-28.790000915527344;-7.25;17.75;false
/track/11;Drone_Magnetic;0.11764705926179886,0.5647059082984924,1,1;;false;-7.477951977765221;15.427635469218885;-2.23884561907985;-25.860000610351562;-7.440000057220459;17.290000915527344;false
/track/12;Tube_2;0.11764705926179886,0.5647059082984924,1,1;;false;-6.47811486199126;15.425896635406268;-2.2383280581922604;-22.780000686645508;-7.619999885559082;16.8799991607666;false
/track/13;Chime_3;0.11764705926179886,0.5647059082984924,1,1;;false;-5.480996984517345;15.443584306077936;-2.2418755813872577;-19.540000915527344;-7.789999961853027;16.540000915527344;false
/track/14;Chime_4;0.11764705926179886,0.5647059082984924,1,1;;false;-4.479160943816004;15.427422283976309;-2.2405661419571308;-16.190000534057617;-7.940000057220459;16.219999313354492;false
/track/15;Plant_4;0.11764705926179886,0.5647059082984924,1,1;;false;-3.4811325452442543;15.434442291359503;-2.240556343189717;-12.710000038146973;-8.0600004196167;15.979999542236328;false
/track/16;ToBeNamed;0.11764705926179886,0.5647059082984924,1,1;;false;-2.4801125676050573;15.432114741060417;-2.241199470388969;-9.130000114440918;-8.15999984741211;15.789999961853027;false
/track/17;Feedback_1;0.11764705926179886,0.5647059082984924,1,1;;false;-1.480138951821385;15.428277761993309;-2.23897950035973;-5.480000019073486;-8.220000267028809;15.65999984741211;false
/track/18;Feedback_2;0.11764705926179886,0.5647059082984924,1,1;;false;-0.47953835601380057;15.430721603792858;-2.241179522753047;-1.7799999713897705;-8.260000228881836;15.600000381469727;false
/track/19;Feedback_3;0.11764705926179886,0.5647059082984924,1,1;;false;0.5199341947872442;15.429413296743949;-2.241179522753047;1.9299999475479126;-8.260000228881836;15.600000381469727;false
/track/20;Feedback_4;0.11764705926179886,0.5647059082984924,1,1;;false;1.5197713822981236;15.444314881867887;-2.2418390543422975;5.619999885559082;-8.220000267028809;15.680000305175781;false
/track/21;Robot_Filter_1;0.11764705926179886,0.5647059082984924,1,1;;false;2.5205681432130476;15.425954778208196;-2.2384714006245128;9.279999732971191;-8.149999618530273;15.789999961853027;false
/track/22;Robot_Filter_2;0.11764705926179886,0.5647059082984924,1,1;;false;3.518835665168707;15.425890191635693;-2.240556343189717;12.850000381469727;-8.0600004196167;15.979999542236328;false
/track/23;Robot_Filter_3;0.11764705926179886,0.5647059082984924,1,1;;false;4.51973842904767;15.426311714935794;-2.239141922169227;16.329999923706055;-7.929999828338623;16.229999542236328;false
/track/24;Robot_Filter_4;0.11764705926179886,0.5647059082984924,1,1;;false;5.518847898767354;15.430513854643003;-2.2390154839989;19.68000030517578;-7.78000020980835;16.540000915527344;false
/track/25;Robot_Filter_5;0.11764705926179886,0.5647059082984924,1,1;;false;6.519436386837595;15.44118573522627;-2.2393809697548748;22.889999389648438;-7.610000133514404;16.90999984741211;false
/track/26;Robot_Filter_6;0.11764705926179886,0.5647059082984924,1,1;;false;7.520753943508096;15.440344805871458;-2.239732534414944;25.969999313354492;-7.429999828338623;17.31999969482422;false
/track/27;Robot_Filter_7;0.11764705926179886,0.5647059082984924,1,1;;false;8.522149675249038;15.431481298823634;-2.2394789808413718;28.90999984741211;-7.239999771118164;17.770000457763672;false
/track/28;Robot_Filter_8;0.11764705926179886,0.5647059082984924,1,1;;false;9.519909584325905;15.432114792418282;-2.2392121977537958;31.670000076293945;-7.039999961853027;18.270000457763672;false
/track/29;Speakers_Case_Left;0.11764705926179886,0.5647059082984924,1,1;;false;10.521788158588384;15.430148382459869;-2.2402175675172735;34.290000915527344;-6.840000152587891;18.809999465942383;false
/track/30;Speaker_Case_Center_1;0.11764705926179886,0.5647059082984924,1,1;;false;11.52100083161898;15.434108446171095;-2.2420777507106164;36.7400016784668;-6.639999866485596;19.389999389648438;false
